# Netscape HTTP Cookie File
# http://curl.haxx.se/rfc/cookie_spec.html
# This file was generated by libcurl! Edit at your own risk.

extensions.joomla.org	FALSE	/extensions/administration/admin-templates/	FALSE	1351118295	mtlink_hit17906	1
extensions.joomla.org	FALSE	/extensions/administration/admin-templates/	FALSE	1351118298	mtlink_hit17956	1
extensions.joomla.org	FALSE	/extensions/administration/admin-templates/	FALSE	1351118301	mtlink_hit9228	1
extensions.joomla.org	FALSE	/extensions/administration/extensions-quickicons/	FALSE	1351118303	mtlink_hit11347	1
extensions.joomla.org	FALSE	/extensions/administration/extensions-quickicons/	FALSE	1351118306	mtlink_hit463	1
extensions.joomla.org	FALSE	/extensions/administration/extensions-quickicons/	FALSE	1351118308	mtlink_hit16526	1
extensions.joomla.org	FALSE	/extensions/administration/extensions-quickicons/	FALSE	1351118311	mtlink_hit20310	1
extensions.joomla.org	FALSE	/extensions/administration/extensions-quickicons/	FALSE	1351118313	mtlink_hit10317	1
extensions.joomla.org	FALSE	/extensions/administration/extensions-quickicons/	FALSE	1351118317	mtlink_hit13613	1
extensions.joomla.org	FALSE	/extensions/administration/extensions-quickicons/	FALSE	1351118320	mtlink_hit9374	1
extensions.joomla.org	FALSE	/extensions/administration/extensions-quickicons/	FALSE	1351118322	mtlink_hit11660	1
extensions.joomla.org	FALSE	/extensions/administration/extensions-quickicons/	FALSE	1351118325	mtlink_hit13474	1
extensions.joomla.org	FALSE	/extensions/administration/extensions-quickicons/	FALSE	1351118327	mtlink_hit21688	1
extensions.joomla.org	FALSE	/extensions/administration/extensions-quickicons/	FALSE	1351118329	mtlink_hit13502	1
extensions.joomla.org	FALSE	/extensions/administration/extensions-quickicons/	FALSE	1351118332	mtlink_hit16247	1
extensions.joomla.org	FALSE	/extensions/administration/extensions-quickicons/	FALSE	1351118334	mtlink_hit11739	1
extensions.joomla.org	FALSE	/extensions/administration/extensions-quickicons/	FALSE	1351118336	mtlink_hit10320	1
extensions.joomla.org	FALSE	/extensions/administration/extensions-quickicons/	FALSE	1351118338	mtlink_hit6394	1
extensions.joomla.org	FALSE	/extensions/administration/extensions-quickicons/	FALSE	1351118341	mtlink_hit6471	1
extensions.joomla.org	FALSE	/extensions/administration/extensions-quickicons/	FALSE	1351118344	mtlink_hit7654	1
extensions.joomla.org	FALSE	/extensions/administration/extensions-quickicons/	FALSE	1351118347	mtlink_hit10319	1
extensions.joomla.org	FALSE	/extensions/administration/extensions-quickicons/	FALSE	1351118349	mtlink_hit10318	1
extensions.joomla.org	FALSE	/extensions/administration/extensions-quickicons/	FALSE	1351118352	mtlink_hit10316	1
extensions.joomla.org	FALSE	/extensions/ads-a-affiliates/banner-management/	FALSE	1351118368	mtlink_hit7018	1
extensions.joomla.org	FALSE	/extensions/ads-a-affiliates/banner-management/	FALSE	1351118371	mtlink_hit6303	1
extensions.joomla.org	FALSE	/extensions/ads-a-affiliates/banner-management/	FALSE	1351118374	mtlink_hit14294	1
extensions.joomla.org	FALSE	/extensions/ads-a-affiliates/banner-management/	FALSE	1351118377	mtlink_hit8185	1
extensions.joomla.org	FALSE	/extensions/ads-a-affiliates/banner-management/	FALSE	1351118379	mtlink_hit13305	1
extensions.joomla.org	FALSE	/extensions/ads-a-affiliates/banner-management/	FALSE	1351118382	mtlink_hit3642	1
extensions.joomla.org	FALSE	/extensions/ads-a-affiliates/banner-management/	FALSE	1351118385	mtlink_hit11062	1
extensions.joomla.org	FALSE	/extensions/ads-a-affiliates/banner-management/	FALSE	1351118387	mtlink_hit7870	1
extensions.joomla.org	FALSE	/extensions/ads-a-affiliates/banner-management/	FALSE	1351118390	mtlink_hit12657	1
extensions.joomla.org	FALSE	/extensions/ads-a-affiliates/banner-management/	FALSE	1351118393	mtlink_hit3114	1
extensions.joomla.org	FALSE	/extensions/ads-a-affiliates/banner-management/	FALSE	1351118395	mtlink_hit18749	1
extensions.joomla.org	FALSE	/extensions/ads-a-affiliates/banner-management/	FALSE	1351118397	mtlink_hit10617	1
extensions.joomla.org	FALSE	/extensions/ads-a-affiliates/banner-management/	FALSE	1351118399	mtlink_hit14566	1
extensions.joomla.org	FALSE	/extensions/ads-a-affiliates/banner-management/	FALSE	1351118402	mtlink_hit11663	1
extensions.joomla.org	FALSE	/extensions/ads-a-affiliates/banner-management/	FALSE	1351118404	mtlink_hit1298	1
extensions.joomla.org	FALSE	/extensions/ads-a-affiliates/banner-management/	FALSE	1351118406	mtlink_hit13107	1
extensions.joomla.org	FALSE	/extensions/ads-a-affiliates/banner-management/	FALSE	1351118409	mtlink_hit14491	1
extensions.joomla.org	FALSE	/extensions/ads-a-affiliates/banner-management/	FALSE	1351118414	mtlink_hit21213	1
extensions.joomla.org	FALSE	/extensions/ads-a-affiliates/classified-ads/	FALSE	1351118419	mtlink_hit21888	1
extensions.joomla.org	FALSE	/extensions/ads-a-affiliates/classified-ads/	FALSE	1351118424	mtlink_hit15622	1
extensions.joomla.org	FALSE	/extensions/ads-a-affiliates/classified-ads/	FALSE	1351118427	mtlink_hit8766	1
extensions.joomla.org	FALSE	/extensions/ads-a-affiliates/classified-ads/	FALSE	1351118431	mtlink_hit17470	1
extensions.joomla.org	FALSE	/extensions/ads-a-affiliates/classified-ads/	FALSE	1351118434	mtlink_hit18686	1
extensions.joomla.org	FALSE	/extensions/ads-a-affiliates/classified-ads/	FALSE	1351118438	mtlink_hit11937	1
extensions.joomla.org	FALSE	/extensions/ads-a-affiliates/classified-ads/	FALSE	1351118441	mtlink_hit12062	1
extensions.joomla.org	FALSE	/extensions/ads-a-affiliates/classified-ads/	FALSE	1351118445	mtlink_hit8168	1
extensions.joomla.org	FALSE	/extensions/ads-a-affiliates/classified-ads/	FALSE	1351118449	mtlink_hit9454	1
extensions.joomla.org	FALSE	/extensions/ads-a-affiliates/classified-ads/	FALSE	1351118453	mtlink_hit14446	1
extensions.joomla.org	FALSE	/extensions/ads-a-affiliates/classified-ads/	FALSE	1351118456	mtlink_hit18120	1
extensions.joomla.org	FALSE	/extensions/ads-a-affiliates/classified-ads/	FALSE	1351118458	mtlink_hit18535	1
extensions.joomla.org	FALSE	/extensions/ads-a-affiliates/corner-banners/	FALSE	1351118465	mtlink_hit17416	1
extensions.joomla.org	FALSE	/extensions/ads-a-affiliates/corner-banners/	FALSE	1351118473	mtlink_hit3720	1
extensions.joomla.org	FALSE	/extensions/ads-a-affiliates/corner-banners/	FALSE	1351118480	mtlink_hit17960	1
extensions.joomla.org	FALSE	/extensions/ads-a-affiliates/corner-banners/	FALSE	1351118483	mtlink_hit3209	1
extensions.joomla.org	FALSE	/extensions/ads-a-affiliates/corner-banners/	FALSE	1351118486	mtlink_hit16770	1
extensions.joomla.org	FALSE	/extensions/ads-a-affiliates/corner-banners/	FALSE	1351118489	mtlink_hit15892	1
extensions.joomla.org	FALSE	/extensions/ads-a-affiliates/corner-banners/	FALSE	1351118491	mtlink_hit16112	1
